author;title;state;district;type;date;subjects;description
Gould, Courtney;Dead and the Dark;Texas;Frisco Independent School District;Banned from Libraries;Oct.22;Romance;"<p><b>""Imagine <i>Riverdale </i>crossing streams with Stephen King's <i>The Outsider</i> and you'll get a sense of this gripping supernatural mystery...Gould's debut begins as a snappy paranormal yarn and unspools into a profound story about the complex interplay between grief, guilt, and identity."" - <i>Oprah Daily</i></b><br><b><br>Courtney Gould’s thrilling YA debut <i>The Dead and the Dark</i> is about the things that lurk in dark corners, the parts of you that can’t remain hidden, and about finding home in places—and people—you didn’t expect.</b><br><br><i>The Dark has been waiting—and it won't stay hidden any longer.</i><br><br> Something is wrong in Snakebite, Oregon. Teenagers are disappearing, some turning up dead, the weather isn’t normal, and all fingers point to TV’s most popular ghost hunters who have just come to town. <br><br>Logan Ortiz-Woodley, daughter of TV's <i>ParaSpectors</i>, has never been to Snakebite before. But the moment she and her dads arrive, she starts to get the feeling that there's more than ghosts plaguing this small town. Ashley Barton’s boyfriend was the first teen to go missing, and she’s felt his ghost following her ever since. Although everyone shuns the Ortiz-Woodleys, the mysterious Logan may be the only person who can help Ashley get some answers. <br><br>When Ashley and Logan team up to figure out who—or what—is haunting Snakebite, their investigation reveals truths about the town, their families, and themselves that neither of them are ready for. As the danger intensifies, they realize that their growing feelings for each other could be a light in the darkness.</p>"
Gouveia, Georgette;The Essential Mary Cassatt;Missouri;Wentzville School District;Banned Pending Investigation;Sep.22;Arts & Photography;"With cutting-edge tone and text, these innovative, richly illustrated compact books (6"" x 6"" gift size) are for readers who want easy access to information and who are turned off by art-world jargon."
Gratz, Alan;Ban This Book;Florida;Clay County School District;Banned Pending Investigation;AY 2022-2023;Children's Books;"You’re Never Too Young to Fight Censorship!<br/><br/>In Ban This Book by Alan Gratz, a fourth grader fights back when From the Mixed-Up Files of Mrs. Basil E. Frankweiler by E. L. Konigsburg is challenged by a well-meaning parent and taken off the shelves of her school library. Amy Anne is shy and soft-spoken, but don’t mess with her when it comes to her favorite book in the whole world. Amy Anne and her lieutenants wage a battle for the books that will make you laugh and pump your fists as they start a secret banned books locker library, make up ridiculous reasons to ban every single book in the library to make a point, and take a stand against censorship.<br/><br/>Ban This Book is a stirring defense against censorship that’s perfect for middle grade readers. Let kids know that they can make a difference in their schools, communities, and lives!<br/><br/>“Readers, librarians, and all those books that have drawn a challenge have a brand new hero…. Stand up and cheer, book lovers. This one’s for you."" ―Kathi Appelt, author of the Newbery Honor-winning The Underneath<br/><br/>“Ban This Book is absolutely brilliant and belongs on the shelves of every library in the multiverse.”―Lauren Myracle, author of the bestselling Internet Girls series, the most challenged books of 2009 and 2011<br/><br/>“Quick paced and with clear, easy-to-read prose, this is a book poised for wide readership and classroom use.”―Booklist<br/><br/>""A stout defense of the right to read."" ―Kirkus Reviews<br/><br/>“Gratz delivers a book lover’s book that speaks volumes about kids’ power to effect change at a grassroots level."" ―Publishers Weekly"
Gratz, Alan;Code of Honor;Texas;Frisco Independent School District;Banned from Libraries;Oct.22;Thriller;From the acclaimed of author of Prisoner B-3087, a timely, heart-racing action-adventure about the War on Terror -- and the bond between brothers.<br/>Kamran Smith has it all. He's the star of the football team, dates the most popular girl in school, and can't wait to join the Army like his big brother, Darius. Although Kamran's family hails from Iran, Kamran has always felt 100% American. Accepted. And then everything implodes.Darius is accused of being a terrorist. Kamran refuses to believe it, but the evidence is there -- Darius has been filmed making threats against his country, hinting at an upcoming deadly attack. Kamran's friends turn on him -- suddenly, in their eyes, he's a terrorist, too.Kamran knows it's up to him to clear his brother's name. In a race against time, Kamran must piece together a series of clues and codes that will lead him to Darius -- and the truth.But is it a truth Kamran is ready to face? And is he putting his own life at risk?
Gratz, Alan;Ground Zero;Florida;Clay County School District;Banned Pending Investigation;AY 2022-2023;Historical Fiction;The instant #1 New York Times bestseller.<br/><br/>In time for the twentieth anniversary of 9/11, master storyteller Alan Gratz (Refugee) delivers a pulse-pounding and unforgettable take on history and hope, revenge and fear -- and the stunning links between the past and present.<br/><br/>September 11, 2001, New York City: Brandon is visiting his dad at work, on the 107th floor of the World Trade Center. Out of nowhere, an airplane slams into the tower, creating a fiery nightmare of terror and confusion. And Brandon is in the middle of it all. Can he survive -- and escape?<br/>September 11, 2019, Afghanistan: Reshmina has grown up in the shadow of war, but she dreams of peace and progress. When a battle erupts in her village, Reshmina stumbles upon a wounded American soldier named Taz. Should she help Taz -- and put herself and her family in mortal danger?<br/>Two kids. One devastating day. Nothing will ever be the same.
Gratz, Alan;Ground Zero;Florida;Escambia County Public Schools;Banned Pending Investigation;Sep.22;Historical Fiction;The instant #1 New York Times bestseller.<br/><br/>In time for the twentieth anniversary of 9/11, master storyteller Alan Gratz (Refugee) delivers a pulse-pounding and unforgettable take on history and hope, revenge and fear -- and the stunning links between the past and present.<br/><br/>September 11, 2001, New York City: Brandon is visiting his dad at work, on the 107th floor of the World Trade Center. Out of nowhere, an airplane slams into the tower, creating a fiery nightmare of terror and confusion. And Brandon is in the middle of it all. Can he survive -- and escape?<br/>September 11, 2019, Afghanistan: Reshmina has grown up in the shadow of war, but she dreams of peace and progress. When a battle erupts in her village, Reshmina stumbles upon a wounded American soldier named Taz. Should she help Taz -- and put herself and her family in mortal danger?<br/>Two kids. One devastating day. Nothing will ever be the same.
Gratz, Alan;Ground Zero;Florida;School District of Hamilton County;Banned from Libraries and Classrooms;Mar.23;Historical Fiction;The instant #1 New York Times bestseller.<br/><br/>In time for the twentieth anniversary of 9/11, master storyteller Alan Gratz (Refugee) delivers a pulse-pounding and unforgettable take on history and hope, revenge and fear -- and the stunning links between the past and present.<br/><br/>September 11, 2001, New York City: Brandon is visiting his dad at work, on the 107th floor of the World Trade Center. Out of nowhere, an airplane slams into the tower, creating a fiery nightmare of terror and confusion. And Brandon is in the middle of it all. Can he survive -- and escape?<br/>September 11, 2019, Afghanistan: Reshmina has grown up in the shadow of war, but she dreams of peace and progress. When a battle erupts in her village, Reshmina stumbles upon a wounded American soldier named Taz. Should she help Taz -- and put herself and her family in mortal danger?<br/>Two kids. One devastating day. Nothing will ever be the same.
Gratz, Alan;Two Degrees;Pennsylvania;Kutztown School District;Banned from Classrooms;Jan.23;Children's Books;"The instant #1 New York Times bestseller!<br/><br/>#1 New York Times bestselling author Alan Gratz (Refugee; Ground Zero) is back, tackling the urgent topic of climate change in this breathtaking, action-packed novel that will keep readers turning pages while making their own plans to better the world.<br/><br/>Fire. Ice. Flood. Three climate disasters.<br/><br/>Four kids fighting for their lives.<br/><br/>Akira is riding her horse in the California woods when a wildfire sparks--and grows scarily fast. How can she make it to safety when there are flames everywhere?<br/><br/>Owen and his best friend, George, are used to seeing polar bears on the snowy Canadian tundra. But when one bear gets way too close for comfort, do the boys have any chance of surviving?<br/><br/>Natalie hunkers down at home as a massive hurricane barrels toward Miami. When the floodwaters crash into her house, Natalie is dragged out into the storm--with nowhere to hide.<br/><br/>Akira, Owen, George, and Natalie are all swept up in the devastating effects of climate change. They are also connected in ways that will shock them--and could alter their destinies forever.<br/><br/>Bestselling author Alan Gratz is at the top of his game, shining a light on our increasingly urgent climate crisis while spinning an action-packed story that will keep readers hooked--and inspire them to take action."
Gravett, Paul;1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga;Missouri;Wentzville School District;Banned Pending Investigation;Sep.22;Comics & Graphic Novels;Visually amazing, this critical history of comic books, manga, and graphic novels is a must-have for any comic buff or collector. Over the centuries, comic books and their offshoots, such as graphic novels, manga, and bandes dessinées, have evolved into a phenomenally popular, influential, and unique art form with which we can express our opinions, our fantasies, our nightmares, and our dreams. In short: comics are emphatically no longer just for kids. This diverse, constantly evolving medium is truly coming into its own in the 21st century, from Hollywood's blockbuster adaptations of super-powered caped crusaders to the global spread of Japan's manga and its spinoffs, and from award-winning graphic novels such as Maus and Persepolis to new forms such as online webcomix. This volume is the perfect introduction to a dynamic and globally popular medium, embracing every graphic genre worldwide to assess the very best works of sequential art, graphic literature, comics, and comic strips, past and present. An international survey, this engaging volume is organized according to the year of first publication in the country of origin. An opening section acknowledges pioneering pre-1900 masterpieces, followed by sections divided by decade, creating a fascinating year-by-year chronicle of the graphic medium worldwide. The material includes the very earliest one-off albums to the latest in online comics and features some series and characters that have run for decades. Packed with fantastic reproductions of classic front covers and groundbreaking panels, this book is visually stunning as well as a trove of information--perfect for the passionate collector and casual fan alike.
Gray, Mila;Come Back to Me;Kansas;Gardner Edgerton School District 231;Banned from Libraries and Classrooms;Mar.23;Contemporary;"An unexpected and searing romance unfolds between a young recording artist and her ex-Marine bodyguard trying to outrun his difficult past in this wrenching novel from the author of Come Back to Me and Run Away with Me.<br/><br/>Luna is one of the most famous singer-songwriters in the world. But she’s barely keeping it together. Demands from her family, friends, and fans have all become too much. Especially when she starts receiving threatening messages from a dangerous stalker.<br/><br/>That’s when Will comes into the picture. A Marine who has just returned from a tour in Afghanistan, Will is unsure what to do with the next chapter of his life. So when a job working security comes up, he figures he’d be a perfect fit. But Will wasn’t expecting a job that thrusts him so into the limelight—and he definitely wasn’t expecting Luna; a human hurricane who’s used to getting whatever she wants.<br/><br/>Once Luna begins to let her guard down and show her real self to Will, their relationship moves from professional friendship to something more. As Will battles his inner demons, and Luna attempts to escape the realities of fame, they discover a deep connection that can’t be denied. But Will knows he shouldn’t compromise himself with a client. It’s too risky. Too complicated.<br/><br/>And yet none of that matters when the threats against Luna only get worse, leading to an altercation that could mean both Will and Luna losing the one thing that means everything to them—each other."
Gray, Mila;Run Away With Me;Kansas;Gardner Edgerton School District 231;Banned from Libraries and Classrooms;Mar.23;Romance;Two friends fall into a passionate romance, but first they must confront a painful past, or else lose out on the one thing they’ve been searching for in this heartrending novel from the author of Come Back to Me and Stay with Me. Emerson Lowe and popular ice-hockey player Jake McCallister have been best friends since third grade but as their friendship starts to morph into something more, a terrible event occurs that heralds the end of innocence for both of them. Within a week, Jake’s living on the other side of the country and Emerson is left alone to pick up the pieces of her life in a small town determined to paint her as a liar. Seven years later, Emerson is still living on the beautiful Pacific West island of Bainbridge, helping run her family’s business. The last thing she needs is Jake turning up, bringing with him old memories and opening up old wounds. But Jake—even better looking than Emerson remembers—seems determined to revive their friendship no matter how much Emerson tries to push him away. Forced to work alongside him for the summer Emerson can’t help but fall for Jake, and soon they’re in the midst of a passionate romance that neither of them wants to end. But both Emerson and Jake know that if they’re to have any kind of future they must first confront the past—a past that most people want to stay buried.
Gray, Mila;Stay with Me;Kansas;Gardner Edgerton School District 231;Banned from Libraries and Classrooms;Mar.23;Romance;From the author of Come Back to Me comes a heartwrenching novel about a forbidden romance, a wounded marine, and the girl who’s determined to save him.<br/><br/>Didi Monroe has waited her whole life for happily ever after. So when charming Zac Ridgemont sweeps her off her feet, Didi believes she might finally have met the one.<br/><br/>Until she begins an internship at a military hospital in California. There she meets wounded marine Noel Walker. Frustrated on the outside and broken on the inside, Walker’s an irritating patient who refuses any care, keeping his distance from everything and everyone—including Didi.<br/><br/>Walker is strictly out of bounds. Didi knows this, respects this, but the more she tries to help Walker the closer the two grow. Soon neither one can ignore the sparks flying between them as their attraction simmers into dangerous territory.<br/><br/>But Walker doesn’t believe in love or happily ever after—not after what he’s seen. Not after what he’s been through. He doesn’t want to hurt Didi, but he doesn’t want to push her away either. She makes him feel peaceful. Hopeful, even.<br/><br/>Then tragedy hits, shattering both their worlds, and Didi realizes that love isn’t as simple as happily ever after. Love isn’t easy. It’s difficult. Messy. Complicated.<br/><br/>Now all Didi has to do is decide if it’s worth fighting for.
Graziadei, A. L.;Icebreaker;Florida;Clay County School District;Banned Pending Investigation;AY 2022-2023;Comics & Graphic Novels;<p><b>A. L. Graziadei's <i>Icebreaker</i> is an irresistible YA debut about two hockey players fighting to be the best—and the romance that catches them by surprise along the way.</b><br><br>Seventeen-year-old Mickey James III is a college freshman, a brother to five sisters, and a hockey legacy. With a father and a grandfather who have gone down in NHL history, Mickey is almost guaranteed the league's top draft spot. <br><br>The only person standing in his way is Jaysen Caulfield, a contender for the #1 spot and Mickey's infuriating (and infuriatingly attractive) teammate. When rivalry turns to something more, Mickey will have to decide what he really wants, and what he's willing to risk for it.<br><br>This is a story about falling in love, finding your team (on and off the ice), and choosing your own path.</p>
Green, John;Looking for Alaska;Florida;Clay County School District;Banned from Libraries and Classrooms;Jul.22;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;Escambia County Public Schools;Banned Pending Investigation;Sep.22;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;Flagler Schools;Banned from Libraries;Jun.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;Lake County Schools;Banned from Libraries and Classrooms;Fall 2022;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;Martin County Schools;Banned from Libraries and Classrooms;Feb.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;School District of Hamilton County;Banned from Libraries and Classrooms;Mar.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;School District of Osceola County;Banned from Libraries and Classrooms;Mar.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Florida;Volusia County Schools;Banned from Libraries;Jan.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Idaho;Kuna School District;Banned Pending Investigation;Feb.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Michigan;Belding Area Schools;Banned from Libraries;Apr.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Michigan;Chippewa Valley Schools;Banned from Libraries;Feb.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;Nebraska;Plattsmouth Community Schools;Banned Pending Investigation;Apr.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;New York;Mahopac Central School District;Banned from Libraries;Dec.22;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
Green, John;Looking for Alaska;North Carolina;Catawba County Schools;Banned from Libraries;May.23;Young Adult;The award-winning, genre-defining debut from John Green, the #1 bestselling author of The Anthropocene Reviewed and The Fault in Our Stars<br/><br/>Winner of the Michael L. Printz Award • A Los Angeles Times Book Prize Finalist • A New York Times Bestseller • A USA Today Bestseller • NPR’s Top Ten Best-Ever Teen Novels • TIME magazine’s 100 Best Young Adult Novels of All Time • A PBS Great American Read Selection • Millions of copies sold!<br/><br/>First drink. First prank. First friend. First love.<br/><br/>Last words.<br/><br/>Miles Halter is fascinated by famous last words—and tired of his safe life at home. He leaves for boarding school to seek what the dying poet François Rabelais called the “Great Perhaps.” Much awaits Miles at Culver Creek, including Alaska Young, who will pull Miles into her labyrinth and catapult him into the Great Perhaps.<br/><br/>Looking for Alaska brilliantly chronicles the indelible impact one life can have on another. A modern classic, this stunning debut marked #1 bestselling author John Green’s arrival as a groundbreaking new voice in contemporary fiction.<br/><br/>Newly updated edition includes a brand-new Readers' Guide featuring a Q&A with author John Green
